date,model,equity
2022-06-08,EQUAL_WEIGHT,2.5136226447524055
2022-06-09,EQUAL_WEIGHT,2.426984842431236
2022-06-10,EQUAL_WEIGHT,2.309719480552671
2022-06-13,EQUAL_WEIGHT,2.3162062332236473
2022-06-14,EQUAL_WEIGHT,2.3885254297443654
2022-06-15,EQUAL_WEIGHT,2.2932698569339154
2022-06-16,EQUAL_WEIGHT,2.3318415130663754
2022-06-17,EQUAL_WEIGHT,2.4010187952085262
2022-06-21,EQUAL_WEIGHT,2.397594113886967
2022-06-22,EQUAL_WEIGHT,2.4160746189927838
2022-06-23,EQUAL_WEIGHT,2.4883550936067667
2022-06-24,EQUAL_WEIGHT,2.4804968346281235
2022-06-27,EQUAL_WEIGHT,2.407720642161278
2022-06-28,EQUAL_WEIGHT,2.4133222535832712
2022-06-29,EQUAL_WEIGHT,2.3770545281079873
2022-06-30,EQUAL_WEIGHT,2.3895233018680573
2022-07-01,EQUAL_WEIGHT,2.4083000473700706
2022-07-05,EQUAL_WEIGHT,2.415092577119353
2022-07-06,EQUAL_WEIGHT,2.5181502441094286
2022-07-07,EQUAL_WEIGHT,2.522025686981533
2022-07-08,EQUAL_WEIGHT,2.466724733626081
2022-07-11,EQUAL_WEIGHT,2.4661067344552845
2022-07-12,EQUAL_WEIGHT,2.4587251232234864
2022-07-13,EQUAL_WEIGHT,2.444667675157691
2022-07-14,EQUAL_WEIGHT,2.507637534155239
2022-07-15,EQUAL_WEIGHT,2.5174387776016602
2022-07-18,EQUAL_WEIGHT,2.5925337910053416
2022-07-19,EQUAL_WEIGHT,2.645236471641514
2022-07-20,EQUAL_WEIGHT,2.671207225853377
2022-07-21,EQUAL_WEIGHT,2.5825798208886677
2022-07-22,EQUAL_WEIGHT,2.5622842379780684
2022-07-25,EQUAL_WEIGHT,2.4912985094006426
2022-07-26,EQUAL_WEIGHT,2.6028454980664844
2022-07-27,EQUAL_WEIGHT,2.6181580720254
2022-07-28,EQUAL_WEIGHT,2.6726517847916003
2022-07-29,EQUAL_WEIGHT,2.6813287344104166
2022-08-01,EQUAL_WEIGHT,2.7177186563978695
2022-08-02,EQUAL_WEIGHT,2.7883113428194517
2022-08-03,EQUAL_WEIGHT,2.80277325522307
2022-08-04,EQUAL_WEIGHT,2.8358764350485854
2022-08-05,EQUAL_WEIGHT,2.8389860409682677
2022-08-08,EQUAL_WEIGHT,2.805617634290989
2022-08-09,EQUAL_WEIGHT,2.8910615159253985
2022-08-10,EQUAL_WEIGHT,2.886847261696437
2022-08-11,EQUAL_WEIGHT,2.9430973864908823
2022-08-12,EQUAL_WEIGHT,2.9521231552579175
2022-08-15,EQUAL_WEIGHT,2.971173948103334
2022-08-16,EQUAL_WEIGHT,2.7944306757812707
2022-08-17,EQUAL_WEIGHT,2.784405424120927
2022-08-18,EQUAL_WEIGHT,2.725801632190745
2022-08-19,EQUAL_WEIGHT,2.656242364548759
2022-08-22,EQUAL_WEIGHT,2.6467383824002275
2022-08-23,EQUAL_WEIGHT,2.6459754131595337
2022-08-24,EQUAL_WEIGHT,2.685128582888209
2022-08-25,EQUAL_WEIGHT,2.565414424820948
2022-08-26,EQUAL_WEIGHT,2.5595280160031906
2022-08-29,EQUAL_WEIGHT,2.523254063119185
2022-08-30,EQUAL_WEIGHT,2.5004198498435075
2022-08-31,EQUAL_WEIGHT,2.4800966434281877
2022-09-01,EQUAL_WEIGHT,2.4526321268271865
2022-09-02,EQUAL_WEIGHT,2.404947940100573
2022-09-06,EQUAL_WEIGHT,2.4477239245537987
2022-09-07,EQUAL_WEIGHT,2.4829162988358204
2022-09-08,EQUAL_WEIGHT,2.565099563014482
2022-09-09,EQUAL_WEIGHT,2.59307610910629
2022-09-12,EQUAL_WEIGHT,2.4611995229510906
2022-09-13,EQUAL_WEIGHT,2.478775153400828
2022-09-14,EQUAL_WEIGHT,2.469692790882953
2022-09-15,EQUAL_WEIGHT,2.443530563899825
2022-09-16,EQUAL_WEIGHT,2.4661702618273837
2022-09-19,EQUAL_WEIGHT,2.4272796028620665
2022-09-20,EQUAL_WEIGHT,2.380489783919661
2022-09-21,EQUAL_WEIGHT,2.335730140321076
2022-09-22,EQUAL_WEIGHT,2.3000942209204687
2022-09-23,EQUAL_WEIGHT,2.2674158125023256
2022-09-26,EQUAL_WEIGHT,2.279393403725884
2022-09-27,EQUAL_WEIGHT,2.3331818470060885
2022-09-28,EQUAL_WEIGHT,2.248162027211828
2022-09-29,EQUAL_WEIGHT,2.2151038437542976
2022-09-30,EQUAL_WEIGHT,2.2517111628300617
2022-10-03,EQUAL_WEIGHT,2.334036794060709
2022-10-04,EQUAL_WEIGHT,2.3156526176152186
2022-10-05,EQUAL_WEIGHT,2.2910629207090776
2022-10-06,EQUAL_WEIGHT,2.1829772879799947
2022-10-07,EQUAL_WEIGHT,2.1690209888647614
2022-10-10,EQUAL_WEIGHT,2.1377472800072055
2022-10-11,EQUAL_WEIGHT,2.131861047534558
2022-10-12,EQUAL_WEIGHT,2.186640025790457
2022-10-13,EQUAL_WEIGHT,2.125734230291512
2022-10-14,EQUAL_WEIGHT,2.2205295383374577
2022-10-17,EQUAL_WEIGHT,2.245428481579974
2022-10-18,EQUAL_WEIGHT,2.2118140812700897
2022-10-19,EQUAL_WEIGHT,2.2039374131704323
2022-10-20,EQUAL_WEIGHT,2.259592106405125
2022-10-21,EQUAL_WEIGHT,2.2672795891226967
2022-10-24,EQUAL_WEIGHT,2.3379604864220087
2022-10-25,EQUAL_WEIGHT,2.273607382389397
2022-10-26,EQUAL_WEIGHT,2.2108128339820157
2022-10-27,EQUAL_WEIGHT,2.2579223753467774
2022-10-28,EQUAL_WEIGHT,2.245948298126094
2022-10-31,EQUAL_WEIGHT,2.2141104598313306
2022-11-01,EQUAL_WEIGHT,2.1335733191832023
2022-11-02,EQUAL_WEIGHT,2.1021348613357085
